sentence,label,target_position,target_word,pos_tag,gloss,eg_sent,bis_def_collins,exps_collins,bis_def_longman,exps_longman,bis_def_oxford_advanced,exps_oxford_advanced
He absorbed the knowledge or beliefs of his tribe .,1,1,absorb,VERB,Take in or soak up (energy or a liquid or other substance) by chemical or physical action.,buildings can be designed to absorb and retain heat,"If something absorbs a liquid, gas, or other substance, it soaks it up or takes it in.","['Plants absorb carbon dioxide from the air and moisture from the soil.', 'Refined sugars are absorbed into the bloodstream very quickly.']"," to take in liquid, gas, or another substance from the surface or space around something","['Plants absorb nutrients from the soil.', 'Water and salts are absorbed into our bloodstream.']","to take in a liquid, gas or other substance from the surface or space around","['Plants absorb carbon dioxide from the air.', 'Let the rice cook until it has absorbed all the water.', 'The cream is easily absorbed into the skin.']"
He absorbed the costs for the accident .,1,1,absorb,VERB,Take in or soak up (energy or a liquid or other substance) by chemical or physical action.,buildings can be designed to absorb and retain heat,"If something absorbs a liquid, gas, or other substance, it soaks it up or takes it in.","['Plants absorb carbon dioxide from the air and moisture from the soil.', 'Refined sugars are absorbed into the bloodstream very quickly.']"," to take in liquid, gas, or another substance from the surface or space around something","['Plants absorb nutrients from the soil.', 'Water and salts are absorbed into our bloodstream.']","to take in a liquid, gas or other substance from the surface or space around","['Plants absorb carbon dioxide from the air.', 'Let the rice cook until it has absorbed all the water.', 'The cream is easily absorbed into the skin.']"
The sales tax is absorbed into the state income tax .,1,4,absorb,VERB,Take in or soak up (energy or a liquid or other substance) by chemical or physical action.,buildings can be designed to absorb and retain heat,"If something absorbs a liquid, gas, or other substance, it soaks it up or takes it in.","['Plants absorb carbon dioxide from the air and moisture from the soil.', 'Refined sugars are absorbed into the bloodstream very quickly.']"," to take in liquid, gas, or another substance from the surface or space around something","['Plants absorb nutrients from the soil.', 'Water and salts are absorbed into our bloodstream.']","to take in a liquid, gas or other substance from the surface or space around","['Plants absorb carbon dioxide from the air.', 'Let the rice cook until it has absorbed all the water.', 'The cream is easily absorbed into the skin.']"
The immigrants were quickly absorbed into society .,1,4,absorb,VERB,Take in or soak up (energy or a liquid or other substance) by chemical or physical action.,buildings can be designed to absorb and retain heat,"If something absorbs a liquid, gas, or other substance, it soaks it up or takes it in.","['Plants absorb carbon dioxide from the air and moisture from the soil.', 'Refined sugars are absorbed into the bloodstream very quickly.']"," to take in liquid, gas, or another substance from the surface or space around something","['Plants absorb nutrients from the soil.', 'Water and salts are absorbed into our bloodstream.']","to take in a liquid, gas or other substance from the surface or space around","['Plants absorb carbon dioxide from the air.', 'Let the rice cook until it has absorbed all the water.', 'The cream is easily absorbed into the skin.']"
Her interest in butterflies absorbs her completely .,1,4,absorb,VERB,Take in or soak up (energy or a liquid or other substance) by chemical or physical action.,buildings can be designed to absorb and retain heat,"If something absorbs a liquid, gas, or other substance, it soaks it up or takes it in.","['Plants absorb carbon dioxide from the air and moisture from the soil.', 'Refined sugars are absorbed into the bloodstream very quickly.']"," to take in liquid, gas, or another substance from the surface or space around something","['Plants absorb nutrients from the soil.', 'Water and salts are absorbed into our bloodstream.']","to take in a liquid, gas or other substance from the surface or space around","['Plants absorb carbon dioxide from the air.', 'Let the rice cook until it has absorbed all the water.', 'The cream is easily absorbed into the skin.']"
This boss abuses his workers .,0,2,abuse,VERB,Use (something) to bad effect or for a bad purpose; misuse.,the judge abused his power by imposing the fines,"VERB  ;; If someone is abused, they are treated cruelly and violently. ;; ","['Janet had been abused by her father since she was eleven.', '...parents who feel they cannot cope or might abuse their children.', '...those who work with abused children.']","to treat someone in a cruel and violent way, often sexually",['She was sexually abused as a child.'],"to make bad use of something, or to use so much of something that it harms your health","['to abuse alcohol/drugs', 'He systematically abused his body with heroin and cocaine.']"
Do n't abuse the system .,1,2,abuse,VERB,Use (something) to bad effect or for a bad purpose; misuse.,the judge abused his power by imposing the fines,"VERB  ;; If someone is abused, they are treated cruelly and violently. ;; ","['Janet had been abused by her father since she was eleven.', '...parents who feel they cannot cope or might abuse their children.', '...those who work with abused children.']","to treat someone in a cruel and violent way, often sexually",['She was sexually abused as a child.'],"to make bad use of something, or to use so much of something that it harms your health","['to abuse alcohol/drugs', 'He systematically abused his body with heroin and cocaine.']"
The actress abused the policeman who gave her a parking ticket .,0,2,abuse,VERB,Use (something) to bad effect or for a bad purpose; misuse.,the judge abused his power by imposing the fines,"VERB  ;; If someone is abused, they are treated cruelly and violently. ;; ","['Janet had been abused by her father since she was eleven.', '...parents who feel they cannot cope or might abuse their children.', '...those who work with abused children.']","to treat someone in a cruel and violent way, often sexually",['She was sexually abused as a child.'],"to make bad use of something, or to use so much of something that it harms your health","['to abuse alcohol/drugs', 'He systematically abused his body with heroin and cocaine.']"
Her husband often abuses alcohol .,1,3,abuse,VERB,Use (something) to bad effect or for a bad purpose; misuse.,the judge abused his power by imposing the fines,"VERB  ;; If someone is abused, they are treated cruelly and violently. ;; ","['Janet had been abused by her father since she was eleven.', '...parents who feel they cannot cope or might abuse their children.', '...those who work with abused children.']","to treat someone in a cruel and violent way, often sexually",['She was sexually abused as a child.'],"to make bad use of something, or to use so much of something that it harms your health","['to abuse alcohol/drugs', 'He systematically abused his body with heroin and cocaine.']"
This hotel can accommodate 250 guests .,0,3,accommodate,VERB,(of a building or other area) provide lodging or sufficient space for.,the cottages accommodate up to six people,"VERB  [no cont]  If a building or space can accommodate someone or something, it has enough room for them.  ","['The school in Poldown was not big enough to accommodate all the children.', 'The CD-ROMs will accommodate the works of all English poets from 600 to 1900.']"," if a room, building etc can accommodate a particular number of people or things, it has enough space for them","['He bought a huge house to accommodate his library.', 'The ballroom can accommodate 400 people.']","to provide somebody with a room or place to sleep, live or sit","['The hotel can accommodate up to 500 guests.', 'The aircraft is capable of accommodating 28 passengers.']"
The scientists had to accommodate the new results with the existing theories .,1,4,accommodate,VERB,(of a building or other area) provide lodging or sufficient space for.,the cottages accommodate up to six people,"VERB  [no cont]  If a building or space can accommodate someone or something, it has enough room for them.  ","['The school in Poldown was not big enough to accommodate all the children.', 'The CD-ROMs will accommodate the works of all English poets from 600 to 1900.']"," if a room, building etc can accommodate a particular number of people or things, it has enough space for them","['He bought a huge house to accommodate his library.', 'The ballroom can accommodate 400 people.']","to provide somebody with a room or place to sleep, live or sit","['The hotel can accommodate up to 500 guests.', 'The aircraft is capable of accommodating 28 passengers.']"
The program committee acknowledged the submission of the authors of the paper .,0,3,acknowledge,VERB,Accept or admit the existence or truth of.,the plight of the refugees was acknowledged by the authorities,"If you acknowledge a fact or a situation, you accept or admit that it is true or that it exists.  [formal] [Also V n to-inf, V n as n/adj]","['Naylor acknowledged, in a letter to the judge, that he was a drug addict.', 'Belatedly, the government has acknowledged the problem.', 'There is an acknowledged risk of lung cancer from radon.']", to admit or accept that something is true or that a situation exists,"['The family acknowledge the need for change.', 'He acknowledges that when he’s tired he gets bad-tempered.', 'Claire acknowledged that she was guilty.', 'The government must acknowledge what is happening and do something about it.', '‘Maybe you are right, ’ she acknowledged.', 'This is a fact that most smokers readily acknowledge.']",to accept that something is true,"['She refuses to acknowledge the need for reform.', 'Are you prepared to acknowledge your responsibility?', 'a generally acknowledged fact', 'I did not acknowledge that he had done anything wrong.', 'It is generally acknowledged to be true.']"
He never acknowledges his colleagues when they run into him in the hallway .,0,2,acknowledge,VERB,Accept or admit the existence or truth of.,the plight of the refugees was acknowledged by the authorities,"If you acknowledge a fact or a situation, you accept or admit that it is true or that it exists.  [formal] [Also V n to-inf, V n as n/adj]","['Naylor acknowledged, in a letter to the judge, that he was a drug addict.', 'Belatedly, the government has acknowledged the problem.', 'There is an acknowledged risk of lung cancer from radon.']", to admit or accept that something is true or that a situation exists,"['The family acknowledge the need for change.', 'He acknowledges that when he’s tired he gets bad-tempered.', 'Claire acknowledged that she was guilty.', 'The government must acknowledge what is happening and do something about it.', '‘Maybe you are right, ’ she acknowledged.', 'This is a fact that most smokers readily acknowledge.']",to accept that something is true,"['She refuses to acknowledge the need for reform.', 'Are you prepared to acknowledge your responsibility?', 'a generally acknowledged fact', 'I did not acknowledge that he had done anything wrong.', 'It is generally acknowledged to be true.']"
We must acknowledge the kindness she showed towards us .,0,2,acknowledge,VERB,Accept or admit the existence or truth of.,the plight of the refugees was acknowledged by the authorities,"If you acknowledge a fact or a situation, you accept or admit that it is true or that it exists.  [formal] [Also V n to-inf, V n as n/adj]","['Naylor acknowledged, in a letter to the judge, that he was a drug addict.', 'Belatedly, the government has acknowledged the problem.', 'There is an acknowledged risk of lung cancer from radon.']", to admit or accept that something is true or that a situation exists,"['The family acknowledge the need for change.', 'He acknowledges that when he’s tired he gets bad-tempered.', 'Claire acknowledged that she was guilty.', 'The government must acknowledge what is happening and do something about it.', '‘Maybe you are right, ’ she acknowledged.', 'This is a fact that most smokers readily acknowledge.']",to accept that something is true,"['She refuses to acknowledge the need for reform.', 'Are you prepared to acknowledge your responsibility?', 'a generally acknowledged fact', 'I did not acknowledge that he had done anything wrong.', 'It is generally acknowledged to be true.']"
acknowledge the deed .,0,0,acknowledge,VERB,Accept or admit the existence or truth of.,the plight of the refugees was acknowledged by the authorities,"If you acknowledge a fact or a situation, you accept or admit that it is true or that it exists.  [formal] [Also V n to-inf, V n as n/adj]","['Naylor acknowledged, in a letter to the judge, that he was a drug addict.', 'Belatedly, the government has acknowledged the problem.', 'There is an acknowledged risk of lung cancer from radon.']", to admit or accept that something is true or that a situation exists,"['The family acknowledge the need for change.', 'He acknowledges that when he’s tired he gets bad-tempered.', 'Claire acknowledged that she was guilty.', 'The government must acknowledge what is happening and do something about it.', '‘Maybe you are right, ’ she acknowledged.', 'This is a fact that most smokers readily acknowledge.']",to accept that something is true,"['She refuses to acknowledge the need for reform.', 'Are you prepared to acknowledge your responsibility?', 'a generally acknowledged fact', 'I did not acknowledge that he had done anything wrong.', 'It is generally acknowledged to be true.']"
The Crown Prince was acknowledged as the true heir to the throne .,0,4,acknowledge,VERB,Accept or admit the existence or truth of.,the plight of the refugees was acknowledged by the authorities,"If you acknowledge a fact or a situation, you accept or admit that it is true or that it exists.  [formal] [Also V n to-inf, V n as n/adj]","['Naylor acknowledged, in a letter to the judge, that he was a drug addict.', 'Belatedly, the government has acknowledged the problem.', 'There is an acknowledged risk of lung cancer from radon.']", to admit or accept that something is true or that a situation exists,"['The family acknowledge the need for change.', 'He acknowledges that when he’s tired he gets bad-tempered.', 'Claire acknowledged that she was guilty.', 'The government must acknowledge what is happening and do something about it.', '‘Maybe you are right, ’ she acknowledged.', 'This is a fact that most smokers readily acknowledge.']",to accept that something is true,"['She refuses to acknowledge the need for reform.', 'Are you prepared to acknowledge your responsibility?', 'a generally acknowledged fact', 'I did not acknowledge that he had done anything wrong.', 'It is generally acknowledged to be true.']"
The residents of this village adhered to Catholicism .,1,5,adhere,VERB,Stick fast to (a surface or substance),paint wo n't adhere well to a greasy surface,"If you adhere to a rule or agreement, you act in the way that it says you should.","['All members of the association adhere to a strict code of practice.', 'She adhered to the strict Islamic dress code.']",to stick firmly to something,['The eggs of these fish adhere to plant leaves.'],to stick firmly to something,"['Once in the bloodstream, the bacteria adhere to the surface of the red cells.', 'Clean the surface first, or the paint will not adhere.', 'There was oil adhering to the bird’s feathers.']"
Will this wallpaper adhere to the wall ?,0,3,adhere,VERB,Stick fast to (a surface or substance),paint wo n't adhere well to a greasy surface,"If you adhere to a rule or agreement, you act in the way that it says you should.","['All members of the association adhere to a strict code of practice.', 'She adhered to the strict Islamic dress code.']",to stick firmly to something,['The eggs of these fish adhere to plant leaves.'],to stick firmly to something,"['Once in the bloodstream, the bacteria adhere to the surface of the red cells.', 'Clean the surface first, or the paint will not adhere.', 'There was oil adhering to the bird’s feathers.']"
